IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.13_2trees_4/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    660708 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:48:11 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.13_2trees_4/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 496 distinct patterns
324 parsimony-informative, 422 singleton sites, 554 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t20    0.00%    passed     56.85%
   2  t5     0.00%    passed     78.60%
   3  t1     0.00%    passed     91.10%
   4  t18    0.00%    passed     96.30%
   5  t14    0.00%    passed     93.30%
   6  t4     0.00%    passed     81.65%
   7  t3     0.00%    passed     97.06%
   8  t19    0.00%    passed     85.18%
   9  t8     0.00%    passed     96.36%
  10  t11    0.00%    passed     86.23%
  11  t2     0.00%    passed     88.81%
  12  t10    0.00%    passed     77.11%
  13  t12    0.00%    passed     69.46%
  14  t9     0.00%    passed     78.05%
  15  t6     0.00%    passed     98.75%
  16  t15    0.00%    passed     83.35%
  17  t13    0.00%    passed     97.46%
  18  t16    0.00%    passed     97.75%
  19  t7     0.00%    passed     78.72%
  20  t17    0.00%    passed     91.03%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            7651.314     37  15376.628    15378.856    15567.922
  2  JC+I          7651.314     38  15378.628    15380.978    15575.092
  3  JC+G4         7651.324     38  15378.648    15380.998    15575.112
  4  JC+I+G4       7652.712     39  15383.424    15385.900    15585.058
  5  JC+R2         7651.723     39  15381.446    15383.922    15583.080
  6  JC+R3         7651.644     41  15385.288    15388.025    15597.263
 14  F81+F         7650.903     40  15381.806    15384.412    15588.611
 15  F81+F+I       7650.903     41  15383.806    15386.544    15595.781
 16  F81+F+G4      7650.914     41  15383.827    15386.565    15595.802
 17  F81+F+I+G4    7652.270     42  15388.539    15391.413    15605.684
 18  F81+F+R2      7651.256     42  15386.512    15389.385    15603.657
 19  F81+F+R3      7651.178     44  15390.356    15393.511    15617.841
 27  K2P           7649.943     38  15375.885    15378.236    15572.350
 28  K2P+I         7649.943     39  15377.885    15380.361    15579.520
 29  K2P+G4        7649.953     39  15377.905    15380.382    15579.540
 30  K2P+I+G4      7651.178     40  15382.356    15384.961    15589.160
 31  K2P+R2        7650.231     40  15380.462    15383.067    15587.267
 32  K2P+R3        7650.159     42  15384.317    15387.191    15601.462
 40  HKY+F         7649.628     41  15381.256    15383.994    15593.231
 41  HKY+F+I       7649.628     42  15383.256    15386.130    15600.401
 42  HKY+F+G4      7649.639     42  15383.277    15386.151    15600.422
 43  HKY+F+I+G4    7650.842     43  15387.683    15390.696    15609.999
 44  HKY+F+R2      7649.882     43  15385.764    15388.777    15608.079
 45  HKY+F+R3      7649.813     45  15389.626    15392.928    15622.282
 53  TNe           7649.912     39  15377.824    15380.300    15579.459
 54  TNe+I         7649.912     40  15379.824    15382.429    15586.629
 55  TNe+G4        7649.922     40  15379.844    15382.449    15586.649
 56  TNe+I+G4      7651.004     41  15384.008    15386.745    15595.982
 57  TNe+R2        7650.123     41  15382.246    15384.983    15594.220
 58  TNe+R3        7650.061     43  15386.122    15389.134    15608.437
 66  TN+F          7649.618     42  15383.236    15386.110    15600.381
 67  TN+F+I        7649.618     43  15385.236    15388.248    15607.551
 68  TN+F+G4       7649.628     43  15385.256    15388.269    15607.572
 69  TN+F+I+G4     7650.700     44  15389.400    15392.555    15616.885
