IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.28_2trees_5/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    773873 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:58:08 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.28_2trees_5/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 496 distinct patterns
392 parsimony-informative, 287 singleton sites, 621 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t4     0.00%    passed     95.54%
   2  t17    0.00%    passed     98.08%
   3  t7     0.00%    passed     95.94%
   4  t15    0.00%    passed     90.81%
   5  t19    0.00%    passed     98.07%
   6  t11    0.00%    passed     99.10%
   7  t10    0.00%    passed     98.94%
   8  t16    0.00%    passed     97.59%
   9  t12    0.00%    passed     99.36%
  10  t3     0.00%    passed     98.23%
  11  t6     0.00%    passed     97.73%
  12  t13    0.00%    passed     95.58%
  13  t2     0.00%    passed     99.42%
  14  t9     0.00%    passed     81.51%
  15  t1     0.00%    passed     86.33%
  16  t5     0.00%    passed     91.51%
  17  t14    0.00%    passed     91.98%
  18  t18    0.00%    passed     95.29%
  19  t20    0.00%    passed     80.88%
  20  t8     0.00%    passed     82.76%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            7412.921     37  14899.843    14902.071    15091.137
  2  JC+I          7409.695     38  14895.391    14897.742    15091.856
  3  JC+G4         7410.973     38  14897.946    14900.296    15094.410
  4  JC+I+G4       7410.259     39  14898.518    14900.994    15100.153
  5  JC+R2         7410.840     39  14899.681    14902.157    15101.316
  6  JC+R3         7410.599     41  14903.198    14905.935    15115.173
 14  F81+F         7412.967     40  14905.934    14908.540    15112.739
 15  F81+F+I       7409.752     41  14901.504    14904.242    15113.479
 16  F81+F+G4      7411.025     41  14904.050    14906.788    15116.025
 17  F81+F+I+G4    7410.241     42  14904.482    14907.355    15121.627
 18  F81+F+R2      7410.861     42  14905.722    14908.596    15122.867
 19  F81+F+R3      7410.598     44  14909.195    14912.351    15136.680
 27  K2P           7411.568     38  14899.135    14901.486    15095.600
 28  K2P+I         7408.330     39  14894.660    14897.136    15096.294
 29  K2P+G4        7409.610     39  14897.220    14899.696    15098.854
 30  K2P+I+G4      7408.745     40  14897.490    14900.095    15104.294
 31  K2P+R2        7409.425     40  14898.851    14901.456    15105.655
 32  K2P+R3        7409.144     42  14902.288    14905.161    15119.433
 40  HKY+F         7411.608     41  14905.215    14907.953    15117.190
 41  HKY+F+I       7408.383     42  14900.765    14903.639    15117.910
 42  HKY+F+G4      7409.657     42  14903.314    14906.188    15120.459
 43  HKY+F+I+G4    7408.747     43  14903.493    14906.506    15125.808
 44  HKY+F+R2      7409.463     43  14904.927    14907.940    15127.242
 45  HKY+F+R3      7409.167     45  14908.335    14911.636    15140.990
 53  TNe           7410.448     39  14898.896    14901.372    15100.531
 54  TNe+I         7407.304     40  14894.607    14897.212    15101.412
 55  TNe+G4        7408.524     40  14897.048    14899.653    15103.853
 56  TNe+I+G4      7407.644     41  14897.288    14900.026    15109.263
 57  TNe+R2        7408.333     41  14898.666    14901.404    15110.641
 58  TNe+R3        7408.034     43  14902.067    14905.080    15124.383
 66  TN+F          7410.261     42  14904.522    14907.395    15121.667
 67  TN+F+I        7407.128     43  14900.256    14903.269    15122.571
 68  TN+F+G4       7408.338     43  14902.675    14905.688    15124.990
 69  TN+F+I+G4     7407.431     44  14902.862    14906.018    15130.347
