IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.29_2trees_3/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    89609 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:42:43 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.29_2trees_3/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 575 distinct patterns
465 parsimony-informative, 370 singleton sites, 465 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t2     0.00%    passed     92.93%
   2  t10    0.00%    passed     96.62%
   3  t18    0.00%    passed     72.46%
   4  t19    0.00%    passed     84.32%
   5  t8     0.00%    passed     98.27%
   6  t5     0.00%    passed     44.47%
   7  t14    0.00%    passed     90.06%
   8  t9     0.00%    passed     98.41%
   9  t11    0.00%    passed     80.69%
  10  t20    0.00%    passed     89.66%
  11  t16    0.00%    passed     89.96%
  12  t12    0.00%    passed     95.86%
  13  t17    0.00%    passed     57.86%
  14  t6     0.00%    passed     75.91%
  15  t15    0.00%    passed     89.96%
  16  t3     0.00%    passed     75.87%
  17  t7     0.00%    passed     92.76%
  18  t13    0.00%    passed     89.60%
  19  t4     0.00%    passed     93.30%
  20  t1     0.00%    passed     93.30%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: t1 is identical to t4 but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8690.517     37  17455.034    17457.262    17646.328
  2  JC+I          8690.184     38  17456.367    17458.718    17652.832
  3  JC+G4         8689.850     38  17455.701    17458.051    17652.165
  4  JC+I+G4       8690.987     39  17459.974    17462.450    17661.608
  5  JC+R2         8689.974     39  17457.947    17460.423    17659.582
  6  JC+R3         8689.905     41  17461.811    17464.549    17673.786
 14  F81+F         8690.743     40  17461.486    17464.092    17668.291
 15  F81+F+I       8690.423     41  17462.846    17465.583    17674.821
 16  F81+F+G4      8690.086     41  17462.171    17464.909    17674.146
 17  F81+F+I+G4    8691.159     42  17466.318    17469.191    17683.463
 18  F81+F+R2      8690.158     42  17464.315    17467.189    17681.461
 19  F81+F+R3      8690.110     44  17468.221    17471.376    17695.706
 27  K2P           8689.696     38  17455.392    17457.742    17651.856
 28  K2P+I         8689.364     39  17456.727    17459.203    17658.362
 29  K2P+G4        8689.032     39  17456.064    17458.540    17657.698
 30  K2P+I+G4      8690.009     40  17460.019    17462.624    17666.823
 31  K2P+R2        8689.067     40  17458.134    17460.739    17664.939
 32  K2P+R3        8689.036     42  17462.073    17464.946    17679.218
 40  HKY+F         8689.925     41  17461.849    17464.587    17673.824
 41  HKY+F+I       8689.604     42  17463.209    17466.082    17680.354
 42  HKY+F+G4      8689.269     42  17462.538    17465.412    17679.683
 43  HKY+F+I+G4    8690.202     43  17466.403    17469.416    17688.719
 44  HKY+F+R2      8689.286     43  17464.572    17467.585    17686.887
 45  HKY+F+R3      8689.267     45  17468.533    17471.835    17701.189
 53  TNe           8689.585     39  17457.171    17459.647    17658.806
 54  TNe+I         8689.251     40  17458.503    17461.108    17665.308
 55  TNe+G4        8688.923     40  17457.846    17460.451    17664.651
 56  TNe+I+G4      8689.775     41  17461.550    17464.288    17673.525
 57  TNe+R2        8688.924     41  17459.847    17462.585    17671.822
 58  TNe+R3        8688.913     43  17463.826    17466.839    17686.141
 66  TN+F          8689.647     42  17463.295    17466.168    17680.440
 67  TN+F+I        8689.321     43  17464.643    17467.656    17686.958
 68  TN+F+G4       8688.989     43  17463.978    17466.991    17686.294
 69  TN+F+I+G4     8689.806     44  17467.612    17470.768    17695.098
 70  TN+F+R2       8688.983     44  17465.965    17469.120    17693.450
 71  TN+F+R3       8688.978     46  17469.956    17473.407    17707.782
 79  K3P           8686.383     39  17450.766    17453.242    17652.400
 80  K3P+I         8686.050     40  17452.100    17454.705    17658.904
 81  K3P+G4        8685.714     40  17451.427    17454.033    17658.232
 82  K3P+I+G4      8686.482     41  17454.965    17457.703    17666.940
 83  K3P+R2        8685.700     41  17453.399    17456.137    17665.374
 84  K3P+R3        8685.695     43  17457.389    17460.402    17679.704
 92  K3Pu+F        8686.580     42  17457.160    17460.034    17674.305
 93  K3Pu+F+I      8686.261     43  17458.523    17461.536    17680.838
 94  K3Pu+F+G4     8685.921     43  17457.843    17460.856    17680.158
 95  K3Pu+F+I+G4   8686.671     44  17461.341    17464.497    17688.827
 96  K3Pu+F+R2     8685.906     44  17459.811    17462.967    17687.297
 97  K3Pu+F+R3     8685.901     46  17463.803    17467.254    17701.628
105  TPM2+F        8689.602     42  17463.205    17466.078    17680.350
106  TPM2+F+I      8689.293     43  17464.585    17467.598    17686.900
107  TPM2+F+G4     8688.941     43  17463.882    17466.894    17686.197
108  TPM2+F+I+G4   8689.676     44  17467.352    17470.508    17694.837
109  TPM2+F+R2     8688.923     44  17465.846    17469.001    17693.331
110  TPM2+F+R3     8688.920     46  17469.841    17473.292    17707.666
118  TPM2u+F       8689.602     42  17463.205    17466.078    17680.350
119  TPM2u+F+I     8689.293     43  17464.585    17467.598    17686.900
120  TPM2u+F+G4    8688.941     43  17463.882    17466.894    17686.197
121  TPM2u+F+I+G4  8689.644     44  17467.287    17470.443    17694.773
122  TPM2u+F+R2    8688.921     44  17465.843    17468.998    17693.328
123  TPM2u+F+R3    8688.919     46  17469.839    17473.290    17707.664
131  TPM3+F        8689.745     42  17463.490    17466.364    17680.635
132  TPM3+F+I      8689.435     43  17464.869    17467.882    17687.185
133  TPM3+F+G4     8689.096     43  17464.192    17467.205    17686.507
134  TPM3+F+I+G4   8689.756     44  17467.512    17470.668    17694.998
135  TPM3+F+R2     8689.076     44  17466.152    17469.307    17693.637
136  TPM3+F+R3     8689.074     46  17470.148    17473.599    17707.974
144  TPM3u+F       8689.745     42  17463.490    17466.364    17680.635
145  TPM3u+F+I     8689.435     43  17464.869    17467.882    17687.185
146  TPM3u+F+G4    8689.096     43  17464.192    17467.205    17686.507
147  TPM3u+F+I+G4  8689.730     44  17467.460    17470.616    17694.946
148  TPM3u+F+R2    8689.075     44  17466.151    17469.306    17693.636
149  TPM3u+F+R3    8689.074     46  17470.148    17473.599    17707.974
157  TIMe          8686.272     40  17452.544    17455.150    17659.349
158  TIMe+I        8685.937     41  17453.875    17456.612    17665.849
159  TIMe+G4       8685.605     41  17453.209    17455.947    17665.184
160  TIMe+I+G4     8686.188     42  17456.377    17459.250    17673.522
161  TIMe+R2       8685.581     42  17455.163    17458.036    17672.308
162  TIMe+R3       8685.581     44  17459.161    17462.316    17686.646
170  TIM+F         8686.302     43  17458.605    17461.617    17680.920
171  TIM+F+I       8685.978     44  17459.956    17463.111    17687.441
172  TIM+F+G4      8685.641     44  17459.282    17462.437    17686.767
173  TIM+F+I+G4    8686.218     45  17462.436    17465.737    17695.091
174  TIM+F+R2      8685.619     45  17461.237    17464.538    17693.892
175  TIM+F+R3      8685.618     47  17465.236    17468.840    17708.232
183  TIM2e         8689.511     40  17459.023    17461.628    17665.828
184  TIM2e+I       8689.184     41  17460.369    17463.107    17672.344
185  TIM2e+G4      8688.849     41  17459.699    17462.436    17671.673
186  TIM2e+I+G4    8689.403     42  17462.807    17465.680    17679.952
187  TIM2e+R2      8688.826     42  17461.653    17464.526    17678.798
188  TIM2e+R3      8688.826     44  17465.652    17468.807    17693.137
196  TIM2+F        8689.325     43  17464.651    17467.664    17686.966
197  TIM2+F+I      8689.010     44  17466.020    17469.176    17693.505
198  TIM2+F+G4     8688.661     44  17465.322    17468.477    17692.807
199  TIM2+F+I+G4   8689.222     45  17468.444    17471.745    17701.099
200  TIM2+F+R2     8688.639     45  17467.278    17470.580    17699.934
201  TIM2+F+R3     8688.639     47  17471.277    17474.881    17714.273
209  TIM3e         8689.515     40  17459.031    17461.636    17665.835
210  TIM3e+I       8689.189     41  17460.377    17463.115    17672.352
211  TIM3e+G4      8688.859     41  17459.717    17462.455    17671.692
212  TIM3e+I+G4    8689.376     42  17462.752    17465.625    17679.897
213  TIM3e+R2      8688.835     42  17461.671    17464.544    17678.816
214  TIM3e+R3      8688.835     44  17465.671    17468.826    17693.156
222  TIM3+F        8689.468     43  17464.937    17467.949    17687.252
223  TIM3+F+I      8689.151     44  17466.302    17469.458    17693.787
224  TIM3+F+G4     8688.815     44  17465.631    17468.786    17693.116
225  TIM3+F+I+G4   8689.332     45  17468.665    17471.966    17701.320
226  TIM3+F+R2     8688.793     45  17467.586    17470.888    17700.242
227  TIM3+F+R3     8688.793     47  17471.586    17475.190    17714.582
