IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.2_2trees_4/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    713114 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:49:12 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.2_2trees_4/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 551 distinct patterns
394 parsimony-informative, 439 singleton sites, 467 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t1     0.00%    passed     98.64%
   2  t5     0.00%    passed     74.81%
   3  t6     0.00%    passed     86.34%
   4  t16    0.00%    passed     98.36%
   5  t11    0.00%    passed     90.86%
   6  t17    0.00%    passed     75.20%
   7  t13    0.00%    passed     94.22%
   8  t14    0.00%    passed     91.69%
   9  t10    0.00%    passed     98.07%
  10  t8     0.00%    passed     79.94%
  11  t7     0.00%    passed     90.16%
  12  t9     0.00%    passed     97.41%
  13  t12    0.00%    passed     93.52%
  14  t18    0.00%    passed     91.87%
  15  t19    0.00%    passed     99.80%
  16  t4     0.00%    passed     99.65%
  17  t2     0.00%    passed     96.22%
  18  t20    0.00%    passed     96.69%
  19  t15    0.00%    passed     89.93%
  20  t3     0.00%    passed     89.93%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: t3 is identical to t15 but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8421.731     37  16917.463    16919.691    17108.757
  2  JC+I          8421.702     38  16919.405    16921.755    17115.869
  3  JC+G4         8421.698     38  16919.397    16921.747    17115.862
  4  JC+I+G4       8422.744     39  16923.488    16925.964    17125.123
  5  JC+R2         8421.922     39  16921.844    16924.320    17123.479
  6  JC+R3         8421.864     41  16925.728    16928.465    17137.702
 14  F81+F         8420.640     40  16921.279    16923.884    17128.084
 15  F81+F+I       8420.609     41  16923.218    16925.955    17135.193
 16  F81+F+G4      8420.604     41  16923.208    16925.946    17135.183
 17  F81+F+I+G4    8421.555     42  16927.111    16929.984    17144.256
 18  F81+F+R2      8420.770     42  16925.541    16928.414    17142.686
 19  F81+F+R3      8420.719     44  16929.437    16932.593    17156.923
 27  K2P           8421.542     38  16919.083    16921.434    17115.548
 28  K2P+I         8421.512     39  16921.025    16923.501    17122.659
 29  K2P+G4        8421.509     39  16921.017    16923.493    17122.652
 30  K2P+I+G4      8422.391     40  16924.783    16927.388    17131.587
 31  K2P+R2        8421.643     40  16923.287    16925.892    17130.091
 32  K2P+R3        8421.595     42  16927.190    16930.064    17144.335
 40  HKY+F         8420.454     41  16922.908    16925.645    17134.883
 41  HKY+F+I       8420.423     42  16924.845    16927.719    17141.990
 42  HKY+F+G4      8420.418     42  16924.836    16927.710    17141.981
 43  HKY+F+I+G4    8421.226     43  16928.453    16931.466    17150.768
 44  HKY+F+R2      8420.521     43  16927.042    16930.055    17149.357
 45  HKY+F+R3      8420.479     45  16930.958    16934.259    17163.613
 53  TNe           8420.853     39  16919.707    16922.183    17121.341
 54  TNe+I         8420.826     40  16921.651    16924.257    17128.456
 55  TNe+G4        8420.828     40  16921.656    16924.261    17128.460
 56  TNe+I+G4      8421.593     41  16925.186    16927.924    17137.161
 57  TNe+R2        8420.928     41  16923.856    16926.593    17135.831
 58  TNe+R3        8420.886     43  16927.772    16930.785    17150.087
 66  TN+F          8420.107     42  16924.215    16927.088    17141.360
 67  TN+F+I        8420.079     43  16926.159    16929.171    17148.474
 68  TN+F+G4       8420.079     43  16926.158    16929.171    17148.474
 69  TN+F+I+G4     8420.786     44  16929.572    16932.727    17157.057
 70  TN+F+R2       8420.155     44  16928.311    16931.466    17155.796
 71  TN+F+R3       8420.120     46  16932.240    16935.691    17170.066
 79  K3P           8420.610     39  16919.220    16921.696    17120.854
 80  K3P+I         8420.581     40  16921.161    16923.766    17127.966
 81  K3P+G4        8420.576     40  16921.152    16923.757    17127.956
 82  K3P+I+G4      8421.232     41  16924.464    16927.201    17136.439
 83  K3P+R2        8420.631     41  16923.262    16926.000    17135.237
 84  K3P+R3        8420.602     43  16927.205    16930.217    17149.520
 92  K3Pu+F        8419.494     42  16922.988    16925.861    17140.133
 93  K3Pu+F+I      8419.463     43  16924.926    16927.938    17147.241
 94  K3Pu+F+G4     8419.457     43  16924.914    16927.927    17147.229
 95  K3Pu+F+I+G4   8420.064     44  16928.127    16931.283    17155.613
 96  K3Pu+F+R2     8419.500     44  16927.000    16930.155    17154.485
 97  K3Pu+F+R3     8419.475     46  16930.951    16934.402    17168.776
105  TPM2+F        8420.451     42  16924.901    16927.775    17142.046
106  TPM2+F+I      8420.418     43  16926.837    16929.850    17149.152
107  TPM2+F+G4     8420.414     43  16926.828    16929.841    17149.143
108  TPM2+F+I+G4   8420.978     44  16929.957    16933.112    17157.442
109  TPM2+F+R2     8420.450     44  16928.900    16932.055    17156.385
110  TPM2+F+R3     8420.428     46  16932.856    16936.307    17170.681
118  TPM2u+F       8420.450     42  16924.899    16927.773    17142.044
119  TPM2u+F+I     8420.418     43  16926.836    16929.849    17149.152
120  TPM2u+F+G4    8420.414     43  16926.828    16929.840    17149.143
121  TPM2u+F+I+G4  8420.943     44  16929.887    16933.042    17157.372
122  TPM2u+F+R2    8420.444     44  16928.887    16932.043    17156.372
123  TPM2u+F+R3    8420.424     46  16932.849    16936.300    17170.674
131  TPM3+F        8420.333     42  16924.666    16927.540    17141.811
132  TPM3+F+I      8420.303     43  16926.605    16929.618    17148.921
133  TPM3+F+G4     8420.299     43  16926.597    16929.610    17148.912
134  TPM3+F+I+G4   8420.801     44  16929.601    16932.757    17157.086
135  TPM3+F+R2     8420.324     44  16928.649    16931.804    17156.134
136  TPM3+F+R3     8420.307     46  16932.614    16936.065    17170.439
144  TPM3u+F       8420.333     42  16924.666    16927.539    17141.811
