IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.33_2trees_4/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    950524 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:51:11 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.33_2trees_4/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1299 columns, 596 distinct patterns
543 parsimony-informative, 294 singleton sites, 462 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t9     0.00%    passed     71.79%
   2  t10    0.00%    passed     89.38%
   3  t16    0.00%    passed     95.15%
   4  t8     0.00%    passed     79.54%
   5  t13    0.00%    passed     84.94%
   6  t14    0.00%    passed     95.30%
   7  t6     0.00%    passed     92.73%
   8  t20    0.00%    passed     65.28%
   9  t17    0.00%    passed     69.59%
  10  t19    0.00%    passed     98.75%
  11  t15    0.00%    passed     87.25%
  12  t3     0.00%    passed     87.20%
  13  t5     0.00%    passed     89.70%
  14  t7     0.00%    passed     51.63%
  15  t2     0.00%    passed     68.39%
  16  t1     0.00%    passed     74.78%
  17  t12    0.00%    passed     64.53%
  18  t4     0.00%    passed     61.30%
  19  t18    0.00%    passed     97.42%
  20  t11    0.00%    passed     92.83%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1299) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8757.393     37  17588.785    17591.015    17780.051
  2  JC+I          8757.393     38  17590.785    17593.138    17787.221
  3  JC+G4         8757.330     38  17590.659    17593.011    17787.094
  4  JC+I+G4       8758.637     39  17595.275    17597.753    17796.880
  5  JC+R2         8757.582     39  17593.164    17595.642    17794.769
  6  JC+R3         8757.477     41  17596.953    17599.693    17808.897
 14  F81+F         8754.589     40  17589.179    17591.786    17795.953
 15  F81+F+I       8754.589     41  17591.179    17593.919    17803.122
 16  F81+F+G4      8754.526     41  17591.052    17593.792    17802.996
 17  F81+F+I+G4    8755.763     42  17595.526    17598.401    17812.638
 18  F81+F+R2      8754.715     42  17593.431    17596.306    17810.543
 19  F81+F+R3      8754.630     44  17597.259    17600.417    17824.711
 27  K2P           8757.103     38  17590.205    17592.558    17786.641
 28  K2P+I         8757.103     39  17592.205    17594.683    17793.810
 29  K2P+G4        8757.039     39  17592.078    17594.556    17793.682
 30  K2P+I+G4      8758.179     40  17596.359    17598.966    17803.133
 31  K2P+R2        8757.183     40  17594.366    17596.973    17801.140
 32  K2P+R3        8757.113     42  17598.227    17601.103    17815.340
 40  HKY+F         8754.277     41  17590.553    17593.293    17802.496
 41  HKY+F+I       8754.277     42  17592.553    17595.429    17809.666
 42  HKY+F+G4      8754.213     42  17592.425    17595.301    17809.538
 43  HKY+F+I+G4    8755.298     43  17596.596    17599.612    17818.878
 44  HKY+F+R2      8754.326     43  17594.652    17597.667    17816.934
 45  HKY+F+R3      8754.269     45  17598.537    17601.841    17831.158
 53  TNe           8756.709     39  17591.418    17593.896    17793.023
 54  TNe+I         8756.709     40  17593.418    17596.025    17800.192
 55  TNe+G4        8756.644     40  17593.287    17595.895    17800.061
 56  TNe+I+G4      8757.632     41  17597.265    17600.005    17809.208
 57  TNe+R2        8756.732     41  17595.463    17598.203    17807.406
 58  TNe+R3        8756.685     43  17599.370    17602.385    17821.652
 66  TN+F          8754.269     42  17592.537    17595.413    17809.650
 67  TN+F+I        8754.269     43  17594.537    17597.553    17816.819
 68  TN+F+G4       8754.205     43  17594.411    17597.426    17816.693
 69  TN+F+I+G4     8755.168     44  17598.337    17601.495    17825.788
