IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.3_2trees_4/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    91803 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:50:44 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.3_2trees_4/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1299 columns, 681 distinct patterns
503 parsimony-informative, 388 singleton sites, 408 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t15    0.00%    passed     92.34%
   2  t11    0.00%    passed     87.92%
   3  t9     0.00%    passed     83.01%
   4  t13    0.00%    passed     99.44%
   5  t7     0.00%    passed     77.18%
   6  t1     0.00%    passed     92.91%
   7  t4     0.00%    passed     78.04%
   8  t3     0.00%    passed     93.95%
   9  t10    0.00%    passed     76.38%
  10  t14    0.00%    passed     90.25%
  11  t2     0.00%    passed     95.99%
  12  t6     0.00%    passed     71.61%
  13  t19    0.00%    passed     97.48%
  14  t16    0.00%    passed     99.19%
  15  t18    0.00%    passed     97.54%
  16  t17    0.00%    passed     99.12%
  17  t5     0.00%    passed     94.00%
  18  t12    0.00%    passed     98.47%
  19  t8     0.00%    passed     77.42%
  20  t20    0.00%    passed     87.50%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 4 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1299) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            9548.911     37  19171.821    19174.051    19363.087
  2  JC+I          9548.316     38  19172.632    19174.985    19369.068
  3  JC+G4         9548.712     38  19173.425    19175.777    19369.860
  4  JC+I+G4       9548.977     39  19175.954    19178.432    19377.558
  5  JC+R2         9548.885     39  19175.771    19178.249    19377.375
  6  JC+R3         9548.802     41  19179.605    19182.345    19391.548
 14  F81+F         9545.906     40  19171.812    19174.420    19378.586
 15  F81+F+I       9545.307     41  19172.615    19175.355    19384.558
 16  F81+F+G4      9545.706     41  19173.411    19176.151    19385.355
 17  F81+F+I+G4    9545.882     42  19175.763    19178.639    19392.876
 18  F81+F+R2      9545.821     42  19175.642    19178.518    19392.755
 19  F81+F+R3      9545.739     44  19179.478    19182.636    19406.929
 27  K2P           9548.818     38  19173.635    19175.988    19370.070
 28  K2P+I         9548.223     39  19174.446    19176.924    19376.050
 29  K2P+G4        9548.620     39  19175.239    19177.717    19376.844
 30  K2P+I+G4      9548.730     40  19177.461    19180.068    19384.235
 31  K2P+R2        9548.699     40  19177.397    19180.005    19384.171
 32  K2P+R3        9548.620     42  19181.240    19184.116    19398.353
 40  HKY+F         9545.807     41  19173.615    19176.355    19385.558
 41  HKY+F+I       9545.208     42  19174.416    19177.292    19391.529
 42  HKY+F+G4      9545.607     42  19175.213    19178.089    19392.326
 43  HKY+F+I+G4    9545.653     43  19177.305    19180.320    19399.587
 44  HKY+F+R2      9545.658     43  19177.316    19180.331    19399.598
 45  HKY+F+R3      9545.585     45  19181.170    19184.474    19413.791
 53  TNe           9547.905     39  19173.810    19176.288    19375.414
 54  TNe+I         9547.323     40  19174.646    19177.254    19381.420
 55  TNe+G4        9547.729     40  19175.458    19178.065    19382.232
 56  TNe+I+G4      9547.732     41  19177.463    19180.203    19389.407
 57  TNe+R2        9547.777     41  19177.554    19180.293    19389.497
 58  TNe+R3        9547.707     43  19181.413    19184.428    19403.695
 66  TN+F          9544.548     42  19173.095    19175.971    19390.208
 67  TN+F+I        9543.959     43  19173.918    19176.934    19396.200
 68  TN+F+G4       9544.369     43  19174.738    19177.753    19397.020
 69  TN+F+I+G4     9544.319     44  19176.638    19179.796    19404.089
 70  TN+F+R2       9544.399     44  19176.799    19179.957    19404.250
 71  TN+F+R3       9544.335     46  19180.669    19184.123    19418.459
 79  K3P           9548.724     39  19175.447    19177.925    19377.052
 80  K3P+I         9548.129     40  19176.258    19178.865    19383.032
 81  K3P+G4        9548.525     40  19177.050    19179.657    19383.824
 82  K3P+I+G4      9548.443     41  19178.887    19181.627    19390.830
 83  K3P+R2        9548.532     41  19179.065    19181.804    19391.008
 84  K3P+R3        9548.473     43  19182.945    19185.960    19405.227
 92  K3Pu+F        9545.703     42  19175.405    19178.281    19392.518
 93  K3Pu+F+I      9545.102     43  19176.205    19179.220    19398.487
 94  K3Pu+F+G4     9545.501     43  19177.001    19180.016    19399.283
 95  K3Pu+F+I+G4   9545.381     44  19178.762    19181.920    19406.213
 96  K3Pu+F+R2     9545.500     44  19179.000    19182.158    19406.452
 97  K3Pu+F+R3     9545.444     46  19182.887    19186.341    19420.677
105  TPM2+F        9545.493     42  19174.987    19177.862    19392.099
106  TPM2+F+I      9544.887     43  19175.774    19178.789    19398.056
107  TPM2+F+G4     9545.295     43  19176.589    19179.604    19398.871
108  TPM2+F+I+G4   9545.134     44  19178.268    19181.426    19405.719
109  TPM2+F+R2     9545.290     44  19178.579    19181.737    19406.030
110  TPM2+F+R3     9545.234     46  19182.468    19185.922    19420.258
118  TPM2u+F       9545.493     42  19174.987    19177.862    19392.099
119  TPM2u+F+I     9544.887     43  19175.774    19178.789    19398.056
120  TPM2u+F+G4    9545.295     43  19176.589    19179.604    19398.871
121  TPM2u+F+I+G4  9545.109     44  19178.219    19181.377    19405.670
122  TPM2u+F+R2    9545.286     44  19178.571    19181.729    19406.022
123  TPM2u+F+R3    9545.232     46  19182.464    19185.918    19420.254
131  TPM3+F        9544.147     42  19172.295    19175.170    19389.407
132  TPM3+F+I      9543.603     43  19173.207    19176.222    19395.489
133  TPM3+F+G4     9543.963     43  19173.926    19176.941    19396.208
134  TPM3+F+I+G4   9543.839     44  19175.678    19178.836    19403.129
135  TPM3+F+R2     9543.958     44  19175.915    19179.073    19403.367
136  TPM3+F+R3     9543.909     46  19179.818    19183.271    19417.608
144  TPM3u+F       9544.147     42  19172.295    19175.170    19389.407
145  TPM3u+F+I     9543.603     43  19173.207    19176.222    19395.489
146  TPM3u+F+G4    9543.963     43  19173.926    19176.941    19396.208
147  TPM3u+F+I+G4  9543.817     44  19175.633    19178.791    19403.085
148  TPM3u+F+R2    9543.954     44  19175.909    19179.066    19403.360
149  TPM3u+F+R3    9543.907     46  19179.814    19183.268    19417.604
157  TIMe          9547.811     40  19175.622    19178.229    19382.396
158  TIMe+I        9547.229     41  19176.458    19179.198    19388.402
159  TIMe+G4       9547.634     41  19177.269    19180.009    19389.212
160  TIMe+I+G4     9547.404     42  19178.808    19181.684    19395.921
161  TIMe+R2       9547.624     42  19179.249    19182.125    19396.362
