IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.43_2trees_5/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    773722 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 14:00:24 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.43_2trees_5/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 544 distinct patterns
481 parsimony-informative, 283 singleton sites, 536 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t4     0.00%    passed     99.21%
   2  t5     0.00%    passed     96.83%
   3  t15    0.00%    passed     70.26%
   4  t3     0.00%    passed     76.82%
   5  t18    0.00%    passed     85.33%
   6  t1     0.00%    passed     90.69%
   7  t9     0.00%    passed     98.29%
   8  t17    0.00%    passed     98.61%
   9  t14    0.00%    passed     89.17%
  10  t16    0.00%    passed     91.75%
  11  t8     0.00%    passed     99.56%
  12  t7     0.00%    passed     90.79%
  13  t10    0.00%    passed     97.25%
  14  t12    0.00%    passed     99.45%
  15  t2     0.00%    passed     99.18%
  16  t13    0.00%    passed     96.65%
  17  t19    0.00%    passed     91.21%
  18  t6     0.00%    passed     96.34%
  19  t20    0.00%    passed     97.20%
  20  t11    0.00%    passed     97.56%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8214.233     37  16502.466    16504.694    16693.761
  2  JC+I          8209.843     38  16495.687    16498.037    16692.151
  3  JC+G4         8211.155     38  16498.310    16500.661    16694.775
  4  JC+I+G4       8210.262     39  16498.525    16501.001    16700.159
  5  JC+R2         8210.998     39  16499.995    16502.471    16701.630
  6  JC+R3         8210.726     41  16503.451    16506.189    16715.426
 14  F81+F         8214.588     40  16509.175    16511.780    16715.980
 15  F81+F+I       8210.177     41  16502.355    16505.093    16714.330
 16  F81+F+G4      8211.493     41  16504.985    16507.723    16716.960
 17  F81+F+I+G4    8210.516     42  16505.033    16507.906    16722.178
 18  F81+F+R2      8211.296     42  16506.592    16509.466    16723.737
 19  F81+F+R3      8211.021     44  16510.041    16513.196    16737.526
 27  K2P           8213.504     38  16503.007    16505.358    16699.472
 28  K2P+I         8209.109     39  16496.217    16498.693    16697.852
 29  K2P+G4        8210.418     39  16498.836    16501.313    16700.471
 30  K2P+I+G4      8209.392     40  16498.783    16501.388    16705.588
 31  K2P+R2        8210.203     40  16500.406    16503.012    16707.211
 32  K2P+R3        8209.918     42  16503.836    16506.709    16720.981
 40  HKY+F         8213.854     41  16509.709    16512.446    16721.684
 41  HKY+F+I       8209.441     42  16502.882    16505.756    16720.027
 42  HKY+F+G4      8210.753     42  16505.505    16508.379    16722.650
 43  HKY+F+I+G4    8209.672     43  16505.345    16508.357    16727.660
 44  HKY+F+R2      8210.527     43  16507.053    16510.066    16729.368
 45  HKY+F+R3      8210.228     45  16510.455    16513.757    16743.111
 53  TNe           8213.452     39  16504.904    16507.380    16706.538
 54  TNe+I         8208.980     40  16497.960    16500.566    16704.765
 55  TNe+G4        8210.345     40  16500.690    16503.295    16707.495
 56  TNe+I+G4      8209.159     41  16500.317    16503.055    16712.292
 57  TNe+R2        8210.103     41  16502.207    16504.944    16714.182
 58  TNe+R3        8209.780     43  16505.560    16508.573    16727.875
 66  TN+F          8213.749     42  16511.497    16514.371    16728.642
 67  TN+F+I        8209.229     43  16504.458    16507.470    16726.773
 68  TN+F+G4       8210.613     43  16507.226    16510.238    16729.541
 69  TN+F+I+G4     8209.370     44  16506.741    16509.896    16734.226
 70  TN+F+R2       8210.365     44  16508.730    16511.885    16736.215
 71  TN+F+R3       8210.020     46  16512.041    16515.492    16749.866
 79  K3P           8213.494     39  16504.988    16507.465    16706.623
 80  K3P+I         8209.099     40  16498.198    16500.803    16705.002
 81  K3P+G4        8210.408     40  16500.817    16503.422    16707.622
 82  K3P+I+G4      8209.239     41  16500.478    16503.215    16712.453
 83  K3P+R2        8210.171     41  16502.342    16505.080    16714.317
 84  K3P+R3        8209.825     43  16505.650    16508.663    16727.965
 92  K3Pu+F        8213.843     42  16511.687    16514.560    16728.832
 93  K3Pu+F+I      8209.430     43  16504.861    16507.873    16727.176
 94  K3Pu+F+G4     8210.741     43  16507.483    16510.496    16729.798
 95  K3Pu+F+I+G4   8209.546     44  16507.091    16510.247    16734.577
 96  K3Pu+F+R2     8210.502     44  16509.003    16512.159    16736.489
 97  K3Pu+F+R3     8210.142     46  16512.283    16515.734    16750.109
105  TPM2+F        8213.511     42  16511.022    16513.896    16728.167
106  TPM2+F+I      8209.107     43  16504.214    16507.226    16726.529
107  TPM2+F+G4     8210.394     43  16506.788    16509.801    16729.103
108  TPM2+F+I+G4   8209.206     44  16506.411    16509.567    16733.896
109  TPM2+F+R2     8210.154     44  16508.309    16511.464    16735.794
110  TPM2+F+R3     8209.787     46  16511.574    16515.025    16749.399
118  TPM2u+F       8213.511     42  16511.023    16513.896    16728.168
119  TPM2u+F+I     8209.107     43  16504.214    16507.226    16726.529
120  TPM2u+F+G4    8210.394     43  16506.788    16509.800    16729.103
121  TPM2u+F+I+G4  8209.190     44  16506.381    16509.536    16733.866
122  TPM2u+F+R2    8210.152     44  16508.305    16511.460    16735.790
123  TPM2u+F+R3    8209.774     46  16511.547    16514.998    16749.373
131  TPM3+F        8213.741     42  16511.482    16514.356    16728.627
132  TPM3+F+I      8209.325     43  16504.650    16507.662    16726.965
133  TPM3+F+G4     8210.630     43  16507.261    16510.273    16729.576
134  TPM3+F+I+G4   8209.394     44  16506.789    16509.944    16734.274
135  TPM3+F+R2     8210.386     44  16508.773    16511.928    16736.258
136  TPM3+F+R3     8209.993     46  16511.986    16515.437    16749.812
144  TPM3u+F       8213.741     42  16511.482    16514.356    16728.628
145  TPM3u+F+I     8209.325     43  16504.650    16507.662    16726.965
146  TPM3u+F+G4    8210.630     43  16507.261    16510.273    16729.576
147  TPM3u+F+I+G4  8209.384     44  16506.768    16509.924    16734.253
148  TPM3u+F+R2    8210.384     44  16508.769    16511.924    16736.254
149  TPM3u+F+R3    8209.981     46  16511.963    16515.414    16749.788
157  TIMe          8213.442     40  16506.884    16509.490    16713.689
158  TIMe+I        8208.971     41  16499.943    16502.680    16711.918
159  TIMe+G4       8210.333     41  16502.665    16505.403    16714.640
160  TIMe+I+G4     8209.018     42  16502.036    16504.910    16719.181
161  TIMe+R2       8210.078     42  16504.156    16507.030    16721.301
162  TIMe+R3       8209.649     44  16507.299    16510.454    16734.784
170  TIM+F         8213.738     43  16513.476    16516.489    16735.791
171  TIM+F+I       8209.218     44  16506.436    16509.591    16733.921
172  TIM+F+G4      8210.602     44  16509.203    16512.359    16736.689
173  TIM+F+I+G4    8209.255     45  16508.510    16511.811    16741.165
174  TIM+F+R2      8210.339     45  16510.677    16513.979    16743.333
175  TIM+F+R3      8209.897     47  16513.794    16517.398    16756.789
183  TIM2e         8213.241     40  16506.482    16509.087    16713.286
184  TIM2e+I       8208.783     41  16499.566    16502.304    16711.541
185  TIM2e+G4      8210.125     41  16502.250    16504.987    16714.224
186  TIM2e+I+G4    8208.813     42  16501.627    16504.500    16718.772
187  TIM2e+R2      8209.868     42  16503.736    16506.610    16720.881
188  TIM2e+R3      8209.429     44  16506.857    16510.013    16734.342
196  TIM2+F        8213.410     43  16512.820    16515.833    16735.135
197  TIM2+F+I      8208.896     44  16505.792    16508.948    16733.277
198  TIM2+F+G4     8210.254     44  16508.508    16511.664    16735.994
199  TIM2+F+I+G4   8208.926     45  16507.852    16511.153    16740.507
200  TIM2+F+R2     8209.991     45  16509.981    16513.283    16742.636
201  TIM2+F+R3     8209.540     47  16513.079    16516.683    16756.075
209  TIM3e         8213.430     40  16506.859    16509.465    16713.664
210  TIM3e+I       8208.960     41  16499.920    16502.657    16711.895
211  TIM3e+G4      8210.322     41  16502.643    16505.381    16714.618
212  TIM3e+I+G4    8208.985     42  16501.970    16504.843    16719.115
213  TIM3e+R2      8210.059     42  16504.118    16506.991    16721.263
214  TIM3e+R3      8209.601     44  16507.202    16510.358    16734.688
222  TIM3+F        8213.636     43  16513.273    16516.286    16735.588
223  TIM3+F+I      8209.112     44  16506.225    16509.380    16733.710
224  TIM3+F+G4     8210.490     44  16508.980    16512.135    16736.465
225  TIM3+F+I+G4   8209.132     45  16508.265    16511.566    16740.920
226  TIM3+F+R2     8210.223     45  16510.447    16513.748    16743.102
227  TIM3+F+R3     8209.754     47  16513.508    16517.112    16756.504
235  TVMe          8213.260     41  16508.520    16511.258    16720.495
236  TVMe+I        8208.878     42  16501.755    16504.629    16718.900
237  TVMe+G4       8210.167     42  16504.333    16507.207    16721.478
238  TVMe+I+G4     8208.903     43  16503.806    16506.819    16726.121
239  TVMe+R2       8209.911     43  16505.821    16508.834    16728.136
240  TVMe+R3       8209.463     45  16508.925    16512.226    16741.580
