IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.48_2trees_2/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    59783 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:38:02 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.48_2trees_2/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 576 distinct patterns
538 parsimony-informative, 291 singleton sites, 471 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t16    0.00%    passed     76.69%
   2  t7     0.00%    passed     92.74%
   3  t1     0.00%    passed     77.42%
   4  t12    0.00%    passed     89.56%
   5  t13    0.00%    passed     91.64%
   6  t17    0.00%    passed     57.01%
   7  t20    0.00%    passed     59.56%
   8  t10    0.00%    passed     90.54%
   9  t19    0.00%    passed     91.85%
  10  t11    0.00%    passed     86.79%
  11  t6     0.00%    passed     99.72%
  12  t18    0.00%    passed     96.45%
  13  t9     0.00%    passed     89.22%
  14  t15    0.00%    passed     91.87%
  15  t2     0.00%    passed     92.13%
  16  t3     0.00%    passed     79.49%
  17  t5     0.00%    passed     82.01%
  18  t14    0.00%    passed     82.01%
  19  t8     0.00%    passed     95.38%
  20  t4     0.00%    passed     95.38%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: t14 is identical to t5 but kept for subsequent analysis
NOTE: t4 is identical to t8 but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8688.768     37  17451.537    17453.765    17642.831
  2  JC+I          8685.230     38  17446.460    17448.810    17642.924
  3  JC+G4         8686.047     38  17448.094    17450.444    17644.558
  4  JC+I+G4       8685.642     39  17449.284    17451.760    17650.919
  5  JC+R2         8685.882     39  17449.765    17452.241    17651.399
  6  JC+R3         8685.699     41  17453.398    17456.135    17665.373
 14  F81+F         8688.427     40  17456.853    17459.459    17663.658
 15  F81+F+I       8684.879     41  17451.759    17454.496    17663.734
 16  F81+F+G4      8685.714     41  17453.427    17456.165    17665.402
 17  F81+F+I+G4    8685.212     42  17454.425    17457.298    17671.570
 18  F81+F+R2      8685.502     42  17455.004    17457.877    17672.149
 19  F81+F+R3      8685.317     44  17458.634    17461.790    17686.120
 27  K2P           8688.715     38  17453.429    17455.780    17649.894
 28  K2P+I         8685.175     39  17448.350    17450.826    17649.985
 29  K2P+G4        8685.992     39  17449.984    17452.460    17651.618
 30  K2P+I+G4      8685.449     40  17450.899    17453.504    17657.703
 31  K2P+R2        8685.761     40  17451.522    17454.127    17658.327
 32  K2P+R3        8685.573     42  17455.147    17458.020    17672.292
 40  HKY+F         8688.371     41  17458.742    17461.480    17670.717
 41  HKY+F+I       8684.823     42  17453.647    17456.520    17670.792
 42  HKY+F+G4      8685.657     42  17455.314    17458.188    17672.459
 43  HKY+F+I+G4    8685.048     43  17456.096    17459.109    17678.411
 44  HKY+F+R2      8685.415     43  17456.830    17459.843    17679.145
 45  HKY+F+R3      8685.215     45  17460.430    17463.732    17693.086
 53  TNe           8688.524     39  17455.048    17457.524    17656.683
 54  TNe+I         8684.948     40  17449.896    17452.501    17656.701
 55  TNe+G4        8685.796     40  17451.592    17454.198    17658.397
 56  TNe+I+G4      8685.128     41  17452.255    17454.993    17664.230
 57  TNe+R2        8685.549     41  17453.098    17455.836    17665.073
 58  TNe+R3        8685.335     43  17456.670    17459.683    17678.985
 66  TN+F          8688.276     42  17460.552    17463.425    17677.697
 67  TN+F+I        8684.704     43  17455.409    17458.422    17677.724
 68  TN+F+G4       8685.563     43  17457.126    17460.138    17679.441
 69  TN+F+I+G4     8684.855     44  17457.710    17460.865    17685.195
 70  TN+F+R2       8685.309     44  17458.618    17461.773    17686.103
 71  TN+F+R3       8685.079     46  17462.158    17465.609    17699.984
