IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.49_2trees_4/alignment.nexus -nt 1 -lmap 500 -redo
Seed:    57969 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:53:39 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/Phylo_20_1300_NA_NA_NA_1_0.1_0.49_2trees_4/alignment.nexus ... Nexus format detected
Alignment has 20 sequences with 1300 columns, 523 distinct patterns
466 parsimony-informative, 300 singleton sites, 534 constant sites
     Gap/Ambiguity  Composition  p-value
   1  t20    0.00%    passed     93.08%
   2  t17    0.00%    passed     86.74%
   3  t9     0.00%    passed     98.82%
   4  t14    0.00%    passed     97.59%
   5  t1     0.00%    passed     96.40%
   6  t3     0.00%    passed     88.67%
   7  t7     0.00%    passed     92.74%
   8  t15    0.00%    passed     99.62%
   9  t11    0.00%    passed     99.89%
  10  t19    0.00%    passed     97.66%
  11  t6     0.00%    passed     92.75%
  12  t18    0.00%    passed     96.55%
  13  t2     0.00%    passed     94.45%
  14  t8     0.00%    passed     98.82%
  15  t16    0.00%    passed     92.36%
  16  t12    0.00%    passed     99.58%
  17  t10    0.00%    passed     98.87%
  18  t13    0.00%    passed     99.84%
  19  t4     0.00%    passed     86.59%
  20  t5     0.00%    passed     99.47%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 3 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            8071.853     37  16217.706    16219.934    16409.000
  2  JC+I          8071.572     38  16219.145    16221.495    16415.609
  3  JC+G4         8071.520     38  16219.041    16221.391    16415.505
  4  JC+I+G4       8072.461     39  16222.921    16225.397    16424.556
  5  JC+R2         8071.667     39  16221.334    16223.811    16422.969
  6  JC+R3         8071.638     41  16225.277    16228.014    16437.251
 14  F81+F         8070.475     40  16220.951    16223.556    16427.755
 15  F81+F+I       8070.201     41  16222.401    16225.139    16434.376
 16  F81+F+G4      8070.149     41  16222.298    16225.036    16434.273
 17  F81+F+I+G4    8071.020     42  16226.039    16228.913    16443.184
 18  F81+F+R2      8070.252     42  16224.505    16227.378    16441.650
 19  F81+F+R3      8070.221     44  16228.443    16231.598    16455.928
 27  K2P           8071.821     38  16219.642    16221.993    16416.107
 28  K2P+I         8071.541     39  16221.081    16223.557    16422.716
 29  K2P+G4        8071.489     39  16220.977    16223.453    16422.612
 30  K2P+I+G4      8072.279     40  16224.558    16227.164    16431.363
 31  K2P+R2        8071.557     40  16223.114    16225.719    16429.919
 32  K2P+R3        8071.530     42  16227.059    16229.933    16444.204
 40  HKY+F         8070.446     41  16222.892    16225.629    16434.867
 41  HKY+F+I       8070.171     42  16224.343    16227.216    16441.488
 42  HKY+F+G4      8070.119     42  16224.239    16227.112    16441.384
 43  HKY+F+I+G4    8070.857     43  16227.714    16230.727    16450.029
 44  HKY+F+R2      8070.169     43  16226.338    16229.351    16448.653
 45  HKY+F+R3      8070.145     45  16230.291    16233.592    16462.946
 53  TNe           8071.821     39  16221.642    16224.118    16423.277
 54  TNe+I         8071.541     40  16223.081    16225.686    16429.886
 55  TNe+G4        8071.488     40  16222.977    16225.582    16429.781
 56  TNe+I+G4      8072.161     41  16226.322    16229.060    16438.297
 57  TNe+R2        8071.520     41  16225.041    16227.778    16437.016
 58  TNe+R3        8071.502     43  16229.003    16232.016    16451.319
 66  TN+F          8070.359     42  16224.719    16227.592    16441.864
 67  TN+F+I        8070.086     43  16226.172    16229.184    16448.487
 68  TN+F+G4       8070.038     43  16226.076    16229.089    16448.391
 69  TN+F+I+G4     8070.667     44  16229.335    16232.490    16456.820
 70  TN+F+R2       8070.063     44  16228.125    16231.281    16455.611
