IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/SimBac_20_1300_0.1_0_0.01_NA_NA_NA_mutation_4/alignment.fasta -nt 1 -lmap 500 -redo
Seed:    263722 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:21:53 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/SimBac_20_1300_0.1_0_0.01_NA_NA_NA_mutation_4/alignment.fasta ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1300 columns, 44 distinct patterns
29 parsimony-informative, 11 singleton sites, 1260 constant sites
    Gap/Ambiguity  Composition  p-value
   1  0     0.00%    passed     99.99%
   2  1     0.00%    passed     99.41%
   3  2     0.00%    passed     99.94%
   4  3     0.00%    passed     99.76%
   5  4     0.00%    passed     99.98%
   6  5     0.00%    passed     99.98%
   7  6     0.00%    passed     99.93%
   8  7     0.00%    passed     99.08%
   9  8     0.00%    passed     99.80%
  10  9     0.00%    passed     99.92%
  11  10    0.00%    passed     99.96%
  12  11    0.00%    passed     99.68%
  13  12    0.00%    passed     99.83%
  14  13    0.00%    passed     99.94%
  15  14    0.00%    passed     99.89%
  16  15    0.00%    passed     99.91%
  17  16    0.00%    passed    100.00%
  18  17    0.00%    passed     99.99%
  19  18    0.00%    passed     99.90%
  20  19    0.00%    passed     99.96%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            2576.237     37  5226.473     5228.701     5417.768
  2  JC+I          2405.600     38  4887.201     4889.551     5083.665
  3  JC+G4         2494.522     38  5065.044     5067.395     5261.509
  4  JC+I+G4       2402.167     39  4882.334     4884.810     5083.969
  5  JC+R2         2405.457     39  4888.915     4891.391     5090.549
  6  JC+R3         2401.728     41  4885.456     4888.194     5097.431
 14  F81+F         2573.906     40  5227.812     5230.417     5434.617
 15  F81+F+I       2403.604     41  4889.209     4891.947     5101.184
 16  F81+F+G4      2492.227     41  5066.454     5069.191     5278.429
 17  F81+F+I+G4    2400.085     42  4884.169     4887.043     5101.314
 18  F81+F+R2      2399.796     42  4883.592     4886.465     5100.737
 19  F81+F+R3      2399.794     44  4887.588     4890.743     5115.073
 27  K2P           2572.118     38  5220.237     5222.587     5416.701
 28  K2P+I         2401.244     39  4880.488     4882.964     5082.123
 29  K2P+G4        2490.383     39  5058.767     5061.243     5260.401
 30  K2P+I+G4      2397.576     40  4875.151     4877.756     5081.956
 31  K2P+R2        2397.365     40  4874.730     4877.335     5081.535
 32  K2P+R3        2397.365     42  4878.730     4881.603     5095.875
 40  HKY+F         2569.753     41  5221.506     5224.244     5433.481
 41  HKY+F+I       2399.370     42  4882.740     4885.613     5099.885
 42  HKY+F+G4      2488.066     42  5060.132     5063.006     5277.277
 43  HKY+F+I+G4    2395.694     43  4877.387     4880.400     5099.702
 44  HKY+F+R2      2395.570     43  4877.140     4880.153     5099.455
 45  HKY+F+R3      2395.570     45  4881.139     4884.441     5113.795
 53  TNe           2572.060     39  5222.120     5224.596     5423.754
 54  TNe+I         2401.114     40  4882.228     4884.833     5089.032
 55  TNe+G4        2490.312     40  5060.624     5063.229     5267.428
 56  TNe+I+G4      2397.225     41  4876.449     4879.187     5088.424
 57  TNe+R2        2397.143     41  4876.287     4879.025     5088.262
 58  TNe+R3        2397.143     43  4880.286     4883.299     5102.601
 66  TN+F          2569.672     42  5223.343     5226.217     5440.488
 67  TN+F+I        2399.228     43  4884.456     4887.469     5106.771
 68  TN+F+G4       2487.969     43  5061.938     5064.950     5284.253
 69  TN+F+I+G4     2395.384     44  4878.768     4881.924     5106.253
 70  TN+F+R2       2395.360     44  4878.719     4881.875     5106.204
 71  TN+F+R3       2395.359     46  4882.718     4886.169     5120.544
 79  K3P           2570.451     39  5218.901     5221.377     5420.536
 80  K3P+I         2399.828     40  4879.655     4882.260     5086.460
 81  K3P+G4        2488.744     40  5057.488     5060.093     5264.293
 82  K3P+I+G4      2395.953     41  4873.906     4876.643     5085.881
 83  K3P+R2        2396.034     41  4874.068     4876.806     5086.043
 84  K3P+R3        2396.034     43  4878.067     4881.080     5100.382
 92  K3Pu+F        2568.105     42  5220.210     5223.084     5437.355
 93  K3Pu+F+I      2397.816     43  4881.632     4884.644     5103.947
 94  K3Pu+F+G4     2486.429     43  5058.858     5061.871     5281.174
 95  K3Pu+F+I+G4   2394.026     44  4876.052     4879.207     5103.537
 96  K3Pu+F+R2     2394.145     44  4876.290     4879.445     5103.775
 97  K3Pu+F+R3     2394.144     46  4880.289     4883.740     5118.114
105  TPM2+F        2567.599     42  5219.197     5222.071     5436.342
106  TPM2+F+I      2398.279     43  4882.557     4885.570     5104.873
107  TPM2+F+G4     2485.867     43  5057.734     5060.746     5280.049
108  TPM2+F+I+G4   2394.451     44  4876.903     4880.058     5104.388
109  TPM2+F+R2     2394.576     44  4877.152     4880.307     5104.637
110  TPM2+F+R3     2394.575     46  4881.150     4884.601     5118.975
118  TPM2u+F       2567.599     42  5219.197     5222.071     5436.342
119  TPM2u+F+I     2398.278     43  4882.556     4885.569     5104.871
120  TPM2u+F+G4    2485.867     43  5057.734     5060.746     5280.049
121  TPM2u+F+I+G4  2394.434     44  4876.869     4880.024     5104.354
122  TPM2u+F+R2    2394.576     44  4877.151     4880.307     5104.637
123  TPM2u+F+R3    2394.575     46  4881.150     4884.601     5118.975
131  TPM3+F        2569.401     42  5222.803     5225.676     5439.948
132  TPM3+F+I      2397.478     43  4880.956     4883.969     5103.272
133  TPM3+F+G4     2487.583     43  5061.166     5064.179     5283.482
134  TPM3+F+I+G4   2394.187     44  4876.374     4879.529     5103.859
135  TPM3+F+R2     2394.223     44  4876.446     4879.602     5103.932
136  TPM3+F+R3     2394.222     46  4880.445     4883.896     5118.270
144  TPM3u+F       2569.402     42  5222.805     5225.678     5439.950
145  TPM3u+F+I     2397.480     43  4880.960     4883.973     5103.275
146  TPM3u+F+G4    2487.583     43  5061.166     5064.179     5283.482
147  TPM3u+F+I+G4  2394.185     44  4876.369     4879.525     5103.855
148  TPM3u+F+R2    2394.222     44  4876.445     4879.600     5103.930
149  TPM3u+F+R3    2394.222     46  4880.444     4883.895     5118.270
157  TIMe          2570.392     40  5220.784     5223.390     5427.589
158  TIMe+I        2399.698     41  4881.396     4884.134     5093.371
159  TIMe+G4       2488.673     41  5059.346     5062.083     5271.321
160  TIMe+I+G4     2395.637     42  4875.274     4878.147     5092.419
161  TIMe+R2       2395.820     42  4875.640     4878.513     5092.785
162  TIMe+R3       2395.820     44  4879.640     4882.795     5107.125
170  TIM+F         2568.024     43  5222.047     5225.060     5444.362
