IQ-TREE multicore version 1.6.2 for Mac OS X 64-bit built Mar  1 2018
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    RSB0001342.local (AVX2, FMA3, 16 GB RAM)
Command: /Users/caitlincherryh/Documents/Executables/iqtree -s /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/SimBac_20_1300_0_0_0.01_NA_NA_NA_external_5/alignment.fasta -nt 1 -lmap 500 -redo
Seed:    201646 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Jul 27 13:15:51 2018
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/SimBac_20_1300_0_0_0.01_NA_NA_NA_external_5/alignment.fasta ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 1300 columns, 62 distinct patterns
49 parsimony-informative, 20 singleton sites, 1231 constant sites
    Gap/Ambiguity  Composition  p-value
   1  0     0.00%    passed     99.94%
   2  1     0.00%    passed     99.95%
   3  2     0.00%    passed     98.99%
   4  3     0.00%    passed     99.93%
   5  4     0.00%    passed     99.64%
   6  5     0.00%    passed     99.28%
   7  6     0.00%    passed     99.62%
   8  7     0.00%    passed     99.86%
   9  8     0.00%    passed     99.85%
  10  9     0.00%    passed     99.64%
  11  10    0.00%    passed     99.93%
  12  11    0.00%    passed     99.75%
  13  12    0.00%    passed     99.92%
  14  13    0.00%    passed     99.83%
  15  14    0.00%    passed     99.98%
  16  15    0.00%    passed     98.94%
  17  16    0.00%    passed     99.93%
  18  17    0.00%    passed     99.77%
  19  18    0.00%    passed     99.84%
  20  19    0.00%    passed     99.96%
****  TOTAL    0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: 10 is identical to 3 but kept for subsequent analysis
NOTE: 9 is identical to 4 but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: 16 (identical to 3) is ignored but added at the end

For your convenience alignment with unique sequences printed to /Users/caitlincherryh/Documents/Repositories/treelikeness/raw_data/testAlignments3/SimBac_20_1300_0_0_0.01_NA_NA_NA_external_5/alignment.fasta.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1300) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            2349.331     35  4768.663     4770.656     4949.617
  2  JC+I          2348.821     36  4769.641     4771.751     4955.766
  3  JC+G4         2348.835     36  4769.670     4771.779     4955.794
  4  JC+I+G4       2348.821     37  4771.642     4773.870     4962.937
  5  JC+R2         2348.907     37  4771.814     4774.042     4963.108
  6  JC+R3         2348.856     39  4775.711     4778.187     4977.346
 14  F81+F         2349.170     38  4774.340     4776.691     4970.805
 15  F81+F+I       2348.660     39  4775.320     4777.796     4976.954
 16  F81+F+G4      2348.674     39  4775.348     4777.824     4976.982
 17  F81+F+I+G4    2348.660     40  4777.321     4779.926     4984.125
 18  F81+F+R2      2348.740     40  4777.480     4780.086     4984.285
 19  F81+F+R3      2348.691     42  4781.381     4784.255     4998.526
 27  K2P           2349.260     36  4770.521     4772.630     4956.645
 28  K2P+I         2348.750     37  4771.500     4773.728     4962.794
 29  K2P+G4        2348.764     37  4771.529     4773.757     4962.823
 30  K2P+I+G4      2348.750     38  4773.501     4775.851     4969.965
 31  K2P+R2        2348.825     38  4773.651     4776.001     4970.115
 32  K2P+R3        2348.778     40  4777.555     4780.161     4984.360
 40  HKY+F         2349.099     39  4776.199     4778.675     4977.834
 41  HKY+F+I       2348.589     40  4777.178     4779.784     4983.983
 42  HKY+F+G4      2348.603     40  4777.207     4779.812     4984.012
 43  HKY+F+I+G4    2348.590     41  4779.179     4781.917     4991.154
 44  HKY+F+R2      2348.660     41  4779.319     4782.057     4991.294
 45  HKY+F+R3      2348.614     43  4783.228     4786.241     5005.543
 53  TNe           2349.248     37  4772.496     4774.725     4963.791
 54  TNe+I         2348.741     38  4773.482     4775.832     4969.946
 55  TNe+G4        2348.755     38  4773.510     4775.860     4969.974
 56  TNe+I+G4      2348.741     39  4775.483     4777.959     4977.117
 57  TNe+R2        2348.806     39  4775.611     4778.087     4977.246
 58  TNe+R3        2348.763     41  4779.525     4782.263     4991.500
 66  TN+F          2349.077     40  4778.154     4780.759     4984.959
 67  TN+F+I        2348.571     41  4779.141     4781.879     4991.116
 68  TN+F+G4       2348.584     41  4779.168     4781.906     4991.143
 69  TN+F+I+G4     2348.571     42  4781.142     4784.016     4998.287
 70  TN+F+R2       2348.631     42  4781.261     4784.135     4998.406
 71  TN+F+R3       2348.590     44  4785.180     4788.335     5012.665
 79  K3P           2349.161     37  4772.323     4774.551     4963.617
 80  K3P+I         2348.648     38  4773.296     4775.646     4969.760
 81  K3P+G4        2348.662     38  4773.325     4775.675     4969.789
 82  K3P+I+G4      2348.648     39  4775.296     4777.772     4976.931
 83  K3P+R2        2348.707     39  4775.414     4777.890     4977.049
 84  K3P+R3        2348.667     41  4779.335     4782.073     4991.310
 92  K3Pu+F        2349.001     40  4778.001     4780.606     4984.806
 93  K3Pu+F+I      2348.487     41  4778.974     4781.712     4990.949
 94  K3Pu+F+G4     2348.502     41  4779.003     4781.741     4990.978
 95  K3Pu+F+I+G4   2348.487     42  4780.975     4783.848     4998.120
 96  K3Pu+F+R2     2348.543     42  4781.085     4783.959     4998.230
 97  K3Pu+F+R3     2348.505     44  4785.010     4788.166     5012.496
105  TPM2+F        2348.878     40  4777.756     4780.361     4984.561
106  TPM2+F+I      2348.382     41  4778.763     4781.501     4990.738
107  TPM2+F+G4     2348.397     41  4778.794     4781.532     4990.769
108  TPM2+F+I+G4   2348.383     42  4780.765     4783.639     4997.911
109  TPM2+F+R2     2348.429     42  4780.857     4783.731     4998.002
110  TPM2+F+R3     2348.398     44  4784.795     4787.950     5012.280
118  TPM2u+F       2348.878     40  4777.756     4780.361     4984.561
119  TPM2u+F+I     2348.382     41  4778.763     4781.501     4990.738
120  TPM2u+F+G4    2348.397     41  4778.794     4781.532     4990.769
121  TPM2u+F+I+G4  2348.383     42  4780.765     4783.639     4997.910
122  TPM2u+F+R2    2348.426     42  4780.852     4783.725     4997.997
123  TPM2u+F+R3    2348.397     44  4784.794     4787.949     5012.279
131  TPM3+F        2349.081     40  4778.161     4780.766     4984.966
132  TPM3+F+I      2348.567     41  4779.134     4781.872     4991.109
133  TPM3+F+G4     2348.581     41  4779.162     4781.900     4991.137
134  TPM3+F+I+G4   2348.567     42  4781.135     4784.008     4998.280
135  TPM3+F+R2     2348.613     42  4781.226     4784.100     4998.372
136  TPM3+F+R3     2348.582     44  4785.164     4788.319     5012.649
144  TPM3u+F       2349.081     40  4778.161     4780.766     4984.966
145  TPM3u+F+I     2348.567     41  4779.134     4781.872     4991.109
146  TPM3u+F+G4    2348.581     41  4779.162     4781.900     4991.137
147  TPM3u+F+I+G4  2348.567     42  4781.135     4784.008     4998.280
148  TPM3u+F+R2    2348.610     42  4781.221     4784.095     4998.366
149  TPM3u+F+R3    2348.581     44  4785.162     4788.318     5012.648
157  TIMe          2349.149     38  4774.298     4776.649     4970.763
158  TIMe+I        2348.639     39  4775.277     4777.754     4976.912
159  TIMe+G4       2348.653     39  4775.306     4777.782     4976.940
160  TIMe+I+G4     2348.639     40  4777.278     4779.883     4984.083
161  TIMe+R2       2348.679     40  4777.358     4779.963     4984.162
162  TIMe+R3       2348.652     42  4781.304     4784.178     4998.449
170  TIM+F         2348.978     41  4779.956     4782.694     4991.931
171  TIM+F+I       2348.469     42  4780.938     4783.811     4998.083
172  TIM+F+G4      2348.482     42  4780.964     4783.838     4998.109
173  TIM+F+I+G4    2348.469     43  4782.938     4785.951     5005.253
174  TIM+F+R2      2348.506     43  4783.012     4786.025     5005.327
175  TIM+F+R3      2348.481     45  4786.962     4790.264     5019.618
183  TIM2e         2349.001     38  4774.002     4776.353     4970.467
184  TIM2e+I       2348.508     39  4775.016     4777.492     4976.651
185  TIM2e+G4      2348.523     39  4775.047     4777.523     4976.681
186  TIM2e+I+G4    2348.509     40  4777.018     4779.624     4983.823
187  TIM2e+R2      2348.540     40  4777.079     4779.684     4983.884
188  TIM2e+R3      2348.521     42  4781.041     4783.915     4998.186
196  TIM2+F        2348.856     41  4779.712     4782.449     4991.687
197  TIM2+F+I      2348.363     42  4780.727     4783.600     4997.872
198  TIM2+F+G4     2348.378     42  4780.756     4783.629     4997.901
199  TIM2+F+I+G4   2348.364     43  4782.729     4785.741     5005.044
200  TIM2+F+R2     2348.392     43  4782.785     4785.798     5005.100
201  TIM2+F+R3     2348.375     45  4786.750     4790.052     5019.406
209  TIM3e         2349.226     38  4774.451     4776.802     4970.916
210  TIM3e+I       2348.715     39  4775.430     4777.906     4977.065
211  TIM3e+G4      2348.729     39  4775.457     4777.933     4977.092
212  TIM3e+I+G4    2348.715     40  4777.431     4780.036     4984.235
213  TIM3e+R2      2348.747     40  4777.494     4780.099     4984.299
214  TIM3e+R3      2348.727     42  4781.454     4784.327     4998.599
222  TIM3+F        2349.059     41  4780.118     4782.856     4992.093
223  TIM3+F+I      2348.550     42  4781.100     4783.973     4998.245
224  TIM3+F+G4     2348.563     42  4781.126     4783.999     4998.271
225  TIM3+F+I+G4   2348.550     43  4783.100     4786.113     5005.415
226  TIM3+F+R2     2348.579     43  4783.159     4786.171     5005.474
227  TIM3+F+R3     2348.561     45  4787.122     4790.423     5019.777
235  TVMe          2348.904     39  4775.809     4778.285     4977.443
236  TVMe+I        2348.402     40  4776.804     4779.409     4983.609
237  TVMe+G4       2348.418     40  4776.835     4779.440     4983.640
238  TVMe+I+G4     2348.402     41  4778.805     4781.543     4990.780
239  TVMe+R2       2348.429     41  4778.858     4781.596     4990.833
240  TVMe+R3       2348.414     43  4782.829     4785.842     5005.144
248  TVM+F         2348.773     42  4781.546     4784.419     4998.691
249  TVM+F+I       2348.271     43  4782.542     4785.554     5004.857
250  TVM+F+G4      2348.285     43  4782.571     4785.584     5004.886
251  TVM+F+I+G4    2348.271     44  4784.542     4787.697     5012.027
252  TVM+F+R2      2348.296     44  4784.592     4787.747     5012.077
253  TVM+F+R3      2348.283     46  4788.565     4792.016     5026.391
261  SYM           2348.896     40  4777.791     4780.396     4984.596
